TimeStamp,ax,ay,az,gx,gy,gz,mx,my,mz
8564.8723,-897.859,1.525,-433.71,7218.75,10990.0,3648.75,-124.64,-114.0,-525.92
8564.9223,-960.262,87.962,-458.964,26118.75,9555.0,-9546.25,-127.68,-135.28,-530.48
8564.9723,-1005.829,30.622,-460.001,14402.5,-2598.75,-32777.5,-117.04,-144.4,-536.56
8565.0223,-877.973,41.541,-435.418,-2213.75,-7411.25,-30511.25,-120.08,-164.16,-532.0
8565.0723,-905.85,-131.15,-379.115,-19346.25,-350.0,-27037.5,-120.08,-171.76,-527.44
8565.1223,-932.568,-149.145,-347.334,10535.0,-11952.5,-18392.5,-135.28,-186.96,-530.48
8565.1723,-889.929,-157.746,-335.622,14638.75,6361.25,-16563.75,-123.12,-200.64,-527.44
8565.2223,-894.748,-168.543,-359.656,14210.0,9310.0,-16975.0,-126.16,-212.8,-530.48
8565.2723,-930.616,-99.857,-402.6,3132.5,9301.25,2406.25,-107.92,-221.92,-535.04
8565.3223,-936.289,-182.39,-394.67,1478.75,5792.5,10001.25,-112.48,-212.8,-535.04
8565.3723,-937.692,-158.295,-411.75,33171.25,-1023.75,16870.0,-97.28,-214.32,-538.08
8565.4223,-885.781,-63.074,-406.321,60838.75,-7945.0,23782.5,-121.6,-234.08,-524.4
8565.4723,-966.545,13.42,-450.302,15951.25,306.25,23765.0,-103.36,-221.92,-535.04
8565.5223,-934.215,11.529,-470.188,25803.75,-6781.25,25751.25,-136.8,-217.36,-513.76
8565.5723,-964.593,53.619,-487.817,6063.75,10290.0,21411.25,-114.0,-228.0,-522.88
8565.6223,-971.486,55.693,-503.677,9633.75,4751.25,18383.75,-135.28,-217.36,-513.76
8565.6723,-924.15,-14.884,-463.722,10150.0,-4077.5,15190.0,-126.16,-206.72,-518.32
8565.7223,-948.123,68.564,-481.778,9563.75,19783.75,8102.5,-110.96,-217.36,-507.68
8565.7723,-944.707,47.519,-451.827,10508.75,-11978.75,5171.25,-118.56,-199.12,-527.44
8565.8223,-898.408,47.641,-460.611,-4401.25,4095.0,402.5,-106.4,-217.36,-513.76
8565.8723,-869.25,27.328,-442.677,-26.25,-4725.0,2660.0,-120.08,-197.6,-530.48
8565.9224,-913.963,35.807,-420.656,-5950.0,-4462.5,2896.25,-136.8,-205.2,-510.72
8565.9723,-914.756,2.501,-421.083,-16257.5,-7017.5,6081.25,-126.16,-203.68,-525.92
8566.0223,-896.883,6.954,-378.566,4392.5,-16712.5,7428.75,-120.08,-196.08,-507.68
8566.0723,-948.062,-6.283,-353.983,-7087.5,-11952.5,1951.25,-132.24,-185.44,-509.2
8566.1223,-922.198,28.304,-359.046,1032.5,-21350.0,-2598.75,-129.2,-191.52,-494.0
8566.1723,-949.404,-46.726,-314.638,-1417.5,-8680.0,-14043.75,-153.52,-193.04,-510.72
8566.2223,-919.087,-74.725,-284.626,4112.5,-11401.25,-21113.75,-141.36,-199.12,-480.32
8566.2723,-937.997,-90.097,-289.384,3290.0,-11086.25,-23196.25,-155.04,-214.32,-490.96
8566.3223,-914.695,-101.687,-278.892,2563.75,-15295.0,-30205.0,-152.0,-212.8,-475.76
8566.3723,-940.254,-49.532,-294.081,-9747.5,3587.5,-29680.0,-158.08,-235.6,-495.52
8566.4223,-961.116,-137.982,-298.046,-20868.75,288.75,-35910.0,-136.8,-241.68,-475.76
8566.4723,-951.356,-146.583,-315.431,-39943.75,-1890.0,-31167.5,-167.2,-234.08,-484.88
8566.5223,-979.538,-167.201,-334.341,-36855.0,5766.25,-19048.75,-139.84,-246.24,-481.84
8566.5723,-939.705,-176.412,-344.223,-12748.75,7752.5,-2983.75,-145.92,-237.12,-504.64
8566.6223,-968.863,-164.273,-355.813,-13650.0,8277.5,7192.5,-142.88,-247.76,-495.52
8566.6723,-946.537,-106.018,-372.283,-4576.25,9318.75,11978.75,-144.4,-228.0,-522.88
8566.7223,-1001.376,-171.288,-382.47,-3675.0,8137.5,2581.25,-124.64,-224.96,-509.2
8566.7723,-966.301,-153.171,-392.718,21166.25,5678.75,-7542.5,-152.0,-235.6,-509.2
8566.8223,-907.131,-184.342,-363.011,17972.5,7971.25,3368.75,-136.8,-241.68,-506.16
8566.8723,-900.543,-148.535,-370.087,4523.75,11698.75,12766.25,-133.76,-235.6,-515.28
8566.9223,-920.551,-105.652,-382.775,-2607.5,12145.0,25208.75,-104.88,-244.72,-518.32
8566.9723,-926.529,-50.569,-416.874,-2091.25,10141.25,30266.25,-132.24,-229.52,-528.96
8567.0223,-845.582,107.909,-410.286,11943.75,1400.0,35971.25,-112.48,-215.84,-516.8
8567.0723,-830.088,175.924,-434.686,-22400.0,18112.5,31631.25,-121.6,-183.92,-527.44
8567.1223,-869.677,114.436,-454.389,-11471.25,8426.25,13781.25,-104.88,-186.96,-545.68
8567.1723,-814.899,23.729,-444.69,-13291.25,19328.75,997.5,-132.24,-174.8,-542.64
8567.2223,-877.241,-73.078,-473.787,24920.0,19766.25,-12801.25,-92.72,-182.4,-548.72
8567.2723,-881.206,-147.437,-453.291,44581.25,3648.75,-17377.5,-107.92,-190.0,-560.88
8567.3223,-1059.082,-286.151,-509.411,104387.5,-3631.25,-17797.5,-103.36,-218.88,-544.16
8567.3723,-863.76,-321.409,-453.108,180372.5,-24543.75,-9362.5,-112.48,-278.16,-539.6
8567.4223,-1001.681,-205.143,-484.889,163975.0,-21568.75,19853.75,-103.36,-320.72,-500.08
8567.4723,-824.598,-309.758,-422.364,185850.0,-29732.5,36793.75,-135.28,-358.72,-469.68
